id,sid,tid,tid_end,entity_type,entity,text
1,3,6,6,GPE,Yugoslavia,Hannah Szenesh. Hungarian poet and paratrooper. Dropped behind enemy lines in Yugoslavia during WW2 to help rescue Hungarian Jews bound for Auschwitz. Arrested by Nazis at Hungarian border. Brutally tortured but refused to give info. Executed.
1,3,8,8,GPE,WW2,Hannah Szenesh. Hungarian poet and paratrooper. Dropped behind enemy lines in Yugoslavia during WW2 to help rescue Hungarian Jews bound for Auschwitz. Arrested by Nazis at Hungarian border. Brutally tortured but refused to give info. Executed.
1,3,12,12,NORP,Hungarian,Hannah Szenesh. Hungarian poet and paratrooper. Dropped behind enemy lines in Yugoslavia during WW2 to help rescue Hungarian Jews bound for Auschwitz. Arrested by Nazis at Hungarian border. Brutally tortured but refused to give info. Executed.
1,3,13,13,NORP,Jews,Hannah Szenesh. Hungarian poet and paratrooper. Dropped behind enemy lines in Yugoslavia during WW2 to help rescue Hungarian Jews bound for Auschwitz. Arrested by Nazis at Hungarian border. Brutally tortured but refused to give info. Executed.
1,3,16,16,FAC,Auschwitz,Hannah Szenesh. Hungarian poet and paratrooper. Dropped behind enemy lines in Yugoslavia during WW2 to help rescue Hungarian Jews bound for Auschwitz. Arrested by Nazis at Hungarian border. Brutally tortured but refused to give info. Executed.
1,4,3,3,NORP,Nazis,Hannah Szenesh. Hungarian poet and paratrooper. Dropped behind enemy lines in Yugoslavia during WW2 to help rescue Hungarian Jews bound for Auschwitz. Arrested by Nazis at Hungarian border. Brutally tortured but refused to give info. Executed.
1,4,5,5,NORP,Hungarian,Hannah Szenesh. Hungarian poet and paratrooper. Dropped behind enemy lines in Yugoslavia during WW2 to help rescue Hungarian Jews bound for Auschwitz. Arrested by Nazis at Hungarian border. Brutally tortured but refused to give info. Executed.
1,1,1,2,PERSON,Marl�ne Laruelle,Marlène Laruelle ???!!!
1,1,1,2,TIME,last night,last night my mom made really good guac.
1,1,2,2,PERSON,Judy,Judge Judy.
1,1,1,2,PERSON,Dorinda Medley,Dorinda Medley.
1,1,6,7,ORG,Trump's,That woman that flipped off Trump's motorcade.
1,1,1,2,PERSON,Harry Styles,Harry Styles
1,1,1,2,PERSON,Harry Styles,Harry Styles
1,1,1,2,PERSON,Carrie Fisher,"Carrie Fisher was an actress, best-selling author, well sought-after script doctor, &amp; mental health activist. She was open &amp; honest about her struggles with bipolar disorder &amp; substance abuse, breaking down stigma barriers. And she did it all while flipping you off."
1,1,4,4,GPE,Iowa,any of the Iowa boys
1,1,1,2,PERSON,Rani Lakshmibai,Rani Lakshmibai of Jhansi led her armies into war against the British on horseback with her child strapped to her back - fighting the patriarchy for reals. With a sword.
1,1,4,4,PERSON,Jhansi,Rani Lakshmibai of Jhansi led her armies into war against the British on horseback with her child strapped to her back - fighting the patriarchy for reals. With a sword.
1,1,12,12,NORP,British,Rani Lakshmibai of Jhansi led her armies into war against the British on horseback with her child strapped to her back - fighting the patriarchy for reals. With a sword.
1,1,6,6,CARDINAL,11,Each of my grandmothers raised 11 kids <f0><U+009F><U+0098><U+008F>
1,1,1,3,ORG,Countess Constance Markievitz,"Countess Constance Markievitz, leader of Cumann Na mBán during the 1916 rising. She fought alongside the men at St.Stephens Green and was one of the snipers there."
1,1,7,8,ORG,Cumann Na,"Countess Constance Markievitz, leader of Cumann Na mBán during the 1916 rising. She fought alongside the men at St.Stephens Green and was one of the snipers there."
1,1,11,12,DATE,the 1916,"Countess Constance Markievitz, leader of Cumann Na mBán during the 1916 rising. She fought alongside the men at St.Stephens Green and was one of the snipers there."
1,3,1,2,PERSON,Stephens Green,"Countess Constance Markievitz, leader of Cumann Na mBán during the 1916 rising. She fought alongside the men at St.Stephens Green and was one of the snipers there."
1,3,5,5,CARDINAL,one,"Countess Constance Markievitz, leader of Cumann Na mBán during the 1916 rising. She fought alongside the men at St.Stephens Green and was one of the snipers there."
1,1,1,2,PERSON,Rose West,Rose West was a bit of a dick
1,1,1,2,PERSON,Hannah Montana,Hannah Montana
1,1,1,2,PERSON,Beverly Allit,Beverly Allit.
1,1,4,4,CARDINAL,two,my mom raised two children while working full time &amp; getting multiple degrees. she currently is a special education teacher &amp; learns spanish to better communicate with her students &amp; is active in helping her refugee students in their education.
1,1,1,2,PERSON,Rose West,Rose West
1,1,1,1,GPE,Malala,Malala - got shot in the face for an education and has done more for women than Swift has ever done period.
1,2,2,2,MONEY,TheQueenOfMiami,@TRINArockstarr #TheQueenOfMiami <f0><U+009F><U+008C><U+00B4><f0><U+009F><U+0094><U+00A5><f0><U+009F><U+0094><U+00A5>
1,1,5,6,GPE,Jurassic Park,The T Rex from Jurassic Park
1,1,1,2,PERSON,Lyudmila Pavlichenko,"Lyudmila Pavlichenko Russian WW2 sniper, killed 309 Nazis"
1,1,3,3,NORP,Russian,"Lyudmila Pavlichenko Russian WW2 sniper, killed 309 Nazis"
1,1,4,4,PERSON,WW2,"Lyudmila Pavlichenko Russian WW2 sniper, killed 309 Nazis"
1,1,8,8,CARDINAL,309,"Lyudmila Pavlichenko Russian WW2 sniper, killed 309 Nazis"
1,1,9,9,NORP,Nazis,"Lyudmila Pavlichenko Russian WW2 sniper, killed 309 Nazis"
1,1,21,21,DATE,70s,My grandma raised my dad and my uncle by herself while on tour as a solo folk artist in the 70s
1,1,1,2,PERSON,Mrs Butterworth,Mrs Butterworth
1,1,1,2,PERSON,Ann Richards,"Ann Richards, Barbara Jordan and my Mother, just off the top of my head. #TxLege"
1,1,4,5,PERSON,Barbara Jordan,"Ann Richards, Barbara Jordan and my Mother, just off the top of my head. #TxLege"
1,2,2,2,MONEY,TxLege,"Ann Richards, Barbara Jordan and my Mother, just off the top of my head. #TxLege"
1,1,1,1,PERSON,John,John wick killed 3 men in a bar with a pencil. A fucking pencil
1,1,4,4,CARDINAL,3,John wick killed 3 men in a bar with a pencil. A fucking pencil
1,1,1,2,PERSON,Judith Kerr,"Judith Kerr <f0><U+009F><U+0093><U+009A><f0><U+009F><U+0090><U+00AF> 
Escaped from the Nazis, wrote one of the most beautiful and popular books ever written and is still working aged 94"
1,1,6,7,ORG,Escaped,"Judith Kerr <f0><U+009F><U+0093><U+009A><f0><U+009F><U+0090><U+00AF> 
Escaped from the Nazis, wrote one of the most beautiful and popular books ever written and is still working aged 94"
1,1,10,10,NORP,Nazis,"Judith Kerr <f0><U+009F><U+0093><U+009A><f0><U+009F><U+0090><U+00AF> 
Escaped from the Nazis, wrote one of the most beautiful and popular books ever written and is still working aged 94"
1,1,28,28,DATE,94,"Judith Kerr <f0><U+009F><U+0093><U+009A><f0><U+009F><U+0090><U+00AF> 
Escaped from the Nazis, wrote one of the most beautiful and popular books ever written and is still working aged 94"
1,1,19,19,CARDINAL,10,"I had diarrhea, bloody nose, and was showed up to the photo lab being behind by 10 projects. Got it all done by lunch."
1,1,1,2,PERSON,Margaret Thatcher,Margaret Thatcher.
1,1,1,2,PERSON,Lassie <,Lassie <f0><U+009F><U+0090><U+00B6>
1,1,3,3,PERSON,f0><U+009F><U+0090><U+00B6,Lassie <f0><U+009F><U+0090><U+00B6>
1,2,4,5,TIME,the minute,My mum was dating someone who was building a fence in our garden. She dumped him the minute he’d finished without even a cup of tea <U+270A>
1,3,2,2,PERSON,U+270A,My mum was dating someone who was building a fence in our garden. She dumped him the minute he’d finished without even a cup of tea <U+270A>
1,2,3,4,PERSON,Florence Finch,"I'm late to this but: Florence Finch, CG vet &amp; POW who lived through the Japanese invasion of the Philippines and actively participated in the resistance. She was the 1st woman to receive the Asiatic-Pacific Campaign Ribbon, and also received the Medal of Freedom."
1,2,6,6,GPE,CG,"I'm late to this but: Florence Finch, CG vet &amp; POW who lived through the Japanese invasion of the Philippines and actively participated in the resistance. She was the 1st woman to receive the Asiatic-Pacific Campaign Ribbon, and also received the Medal of Freedom."
1,2,8,8,ORG,&,"I'm late to this but: Florence Finch, CG vet &amp; POW who lived through the Japanese invasion of the Philippines and actively participated in the resistance. She was the 1st woman to receive the Asiatic-Pacific Campaign Ribbon, and also received the Medal of Freedom."
1,2,16,16,NORP,Japanese,"I'm late to this but: Florence Finch, CG vet &amp; POW who lived through the Japanese invasion of the Philippines and actively participated in the resistance. She was the 1st woman to receive the Asiatic-Pacific Campaign Ribbon, and also received the Medal of Freedom."
1,2,20,20,GPE,Philippines,"I'm late to this but: Florence Finch, CG vet &amp; POW who lived through the Japanese invasion of the Philippines and actively participated in the resistance. She was the 1st woman to receive the Asiatic-Pacific Campaign Ribbon, and also received the Medal of Freedom."
1,3,3,4,DATE,the 1st,"I'm late to this but: Florence Finch, CG vet &amp; POW who lived through the Japanese invasion of the Philippines and actively participated in the resistance. She was the 1st woman to receive the Asiatic-Pacific Campaign Ribbon, and also received the Medal of Freedom."
1,3,8,13,ORG,the Asiatic-Pacific Campaign Ribbon,"I'm late to this but: Florence Finch, CG vet &amp; POW who lived through the Japanese invasion of the Philippines and actively participated in the resistance. She was the 1st woman to receive the Asiatic-Pacific Campaign Ribbon, and also received the Medal of Freedom."
1,3,18,21,WORK_OF_ART,the Medal of Freedom,"I'm late to this but: Florence Finch, CG vet &amp; POW who lived through the Japanese invasion of the Philippines and actively participated in the resistance. She was the 1st woman to receive the Asiatic-Pacific Campaign Ribbon, and also received the Medal of Freedom."
1,1,1,2,PERSON,Taylor Wood,Taylor Wood
1,1,1,2,PERSON,Rachel Carson,"Rachel Carson, Marie Curie, Ruth Bader Ginsberg, Madeleine Albright, Diane Fossey, Helen Keller, Gloria Steinem, Madonna, Aretha Franklin, Margot Lee Shetterly, Malala Yousafzai, and a whole lot more."
1,1,4,5,PERSON,Marie Curie,"Rachel Carson, Marie Curie, Ruth Bader Ginsberg, Madeleine Albright, Diane Fossey, Helen Keller, Gloria Steinem, Madonna, Aretha Franklin, Margot Lee Shetterly, Malala Yousafzai, and a whole lot more."
1,1,7,9,PERSON,Ruth Bader Ginsberg,"Rachel Carson, Marie Curie, Ruth Bader Ginsberg, Madeleine Albright, Diane Fossey, Helen Keller, Gloria Steinem, Madonna, Aretha Franklin, Margot Lee Shetterly, Malala Yousafzai, and a whole lot more."
1,1,11,12,PERSON,Madeleine Albright,"Rachel Carson, Marie Curie, Ruth Bader Ginsberg, Madeleine Albright, Diane Fossey, Helen Keller, Gloria Steinem, Madonna, Aretha Franklin, Margot Lee Shetterly, Malala Yousafzai, and a whole lot more."
1,1,14,15,PERSON,Diane Fossey,"Rachel Carson, Marie Curie, Ruth Bader Ginsberg, Madeleine Albright, Diane Fossey, Helen Keller, Gloria Steinem, Madonna, Aretha Franklin, Margot Lee Shetterly, Malala Yousafzai, and a whole lot more."
1,1,17,18,PERSON,Helen Keller,"Rachel Carson, Marie Curie, Ruth Bader Ginsberg, Madeleine Albright, Diane Fossey, Helen Keller, Gloria Steinem, Madonna, Aretha Franklin, Margot Lee Shetterly, Malala Yousafzai, and a whole lot more."
1,1,20,21,GPE,Gloria Steinem,"Rachel Carson, Marie Curie, Ruth Bader Ginsberg, Madeleine Albright, Diane Fossey, Helen Keller, Gloria Steinem, Madonna, Aretha Franklin, Margot Lee Shetterly, Malala Yousafzai, and a whole lot more."
1,1,23,23,PERSON,Madonna,"Rachel Carson, Marie Curie, Ruth Bader Ginsberg, Madeleine Albright, Diane Fossey, Helen Keller, Gloria Steinem, Madonna, Aretha Franklin, Margot Lee Shetterly, Malala Yousafzai, and a whole lot more."
1,1,25,26,PERSON,Aretha Franklin,"Rachel Carson, Marie Curie, Ruth Bader Ginsberg, Madeleine Albright, Diane Fossey, Helen Keller, Gloria Steinem, Madonna, Aretha Franklin, Margot Lee Shetterly, Malala Yousafzai, and a whole lot more."
1,1,28,30,PERSON,Margot Lee Shetterly,"Rachel Carson, Marie Curie, Ruth Bader Ginsberg, Madeleine Albright, Diane Fossey, Helen Keller, Gloria Steinem, Madonna, Aretha Franklin, Margot Lee Shetterly, Malala Yousafzai, and a whole lot more."
1,1,32,33,PERSON,Malala Yousafzai,"Rachel Carson, Marie Curie, Ruth Bader Ginsberg, Madeleine Albright, Diane Fossey, Helen Keller, Gloria Steinem, Madonna, Aretha Franklin, Margot Lee Shetterly, Malala Yousafzai, and a whole lot more."
1,1,2,5,DATE,the age of 86,"At the age of 86 my great gram, weighing 80 pounds, face down my cousin's abusive ex and knocked his 250 lb, 6+ foot ass down the stairs. Then she stood at the top to make sure he didn't come back up. Later she made brownies with extra chocolate chips and watched her soaps."
1,1,8,8,CARDINAL,gram,"At the age of 86 my great gram, weighing 80 pounds, face down my cousin's abusive ex and knocked his 250 lb, 6+ foot ass down the stairs. Then she stood at the top to make sure he didn't come back up. Later she made brownies with extra chocolate chips and watched her soaps."
1,1,11,12,QUANTITY,80 pounds,"At the age of 86 my great gram, weighing 80 pounds, face down my cousin's abusive ex and knocked his 250 lb, 6+ foot ass down the stairs. Then she stood at the top to make sure he didn't come back up. Later she made brownies with extra chocolate chips and watched her soaps."
1,1,24,24,CARDINAL,250,"At the age of 86 my great gram, weighing 80 pounds, face down my cousin's abusive ex and knocked his 250 lb, 6+ foot ass down the stairs. Then she stood at the top to make sure he didn't come back up. Later she made brownies with extra chocolate chips and watched her soaps."
1,1,27,29,QUANTITY,6+ foot,"At the age of 86 my great gram, weighing 80 pounds, face down my cousin's abusive ex and knocked his 250 lb, 6+ foot ass down the stairs. Then she stood at the top to make sure he didn't come back up. Later she made brownies with extra chocolate chips and watched her soaps."
1,1,3,3,GPE,CVS,Your local CVS drive-thru window employee.
1,1,1,2,PERSON,Lydia Litvyak,"Lydia Litvyak (""the White Lily of Stalingrad"") flew 66 combat missions &amp; killed numerous Nazis."
1,1,5,9,LAW,the White Lily of Stalingrad,"Lydia Litvyak (""the White Lily of Stalingrad"") flew 66 combat missions &amp; killed numerous Nazis."
1,1,13,13,CARDINAL,66,"Lydia Litvyak (""the White Lily of Stalingrad"") flew 66 combat missions &amp; killed numerous Nazis."
1,1,21,21,NORP,Nazis,"Lydia Litvyak (""the White Lily of Stalingrad"") flew 66 combat missions &amp; killed numerous Nazis."
1,1,13,13,DATE,weekly,"Lassie - save kids, eat kibble, do it again, weekly. Tru bitch."
1,1,1,1,GPE,Beyonce,"Beyonce, Rihanna, Alicia keys, H.E.R, SZA, jazmine Sullivan, Jhene Aiko and the list could go on trust me"
1,1,3,3,GPE,Rihanna,"Beyonce, Rihanna, Alicia keys, H.E.R, SZA, jazmine Sullivan, Jhene Aiko and the list could go on trust me"
1,1,5,5,PERSON,Alicia,"Beyonce, Rihanna, Alicia keys, H.E.R, SZA, jazmine Sullivan, Jhene Aiko and the list could go on trust me"
1,1,8,8,ORG,H.E.R,"Beyonce, Rihanna, Alicia keys, H.E.R, SZA, jazmine Sullivan, Jhene Aiko and the list could go on trust me"
1,1,10,10,ORG,SZA,"Beyonce, Rihanna, Alicia keys, H.E.R, SZA, jazmine Sullivan, Jhene Aiko and the list could go on trust me"
1,1,13,13,PERSON,Sullivan,"Beyonce, Rihanna, Alicia keys, H.E.R, SZA, jazmine Sullivan, Jhene Aiko and the list could go on trust me"
1,1,15,16,PERSON,Jhene Aiko,"Beyonce, Rihanna, Alicia keys, H.E.R, SZA, jazmine Sullivan, Jhene Aiko and the list could go on trust me"
1,1,14,14,ORG,NHS,"My little sister is a junior doctor working in an underfunded, overstretched NHS. One time, she had to stop a naked adult man who was having a psychotic episode from ripping out the stitches from a self-inflicted stab-wound, so that his guts didn't fall out on the hospital floor."
1,2,1,1,CARDINAL,One,"My little sister is a junior doctor working in an underfunded, overstretched NHS. One time, she had to stop a naked adult man who was having a psychotic episode from ripping out the stitches from a self-inflicted stab-wound, so that his guts didn't fall out on the hospital floor."
1,1,6,6,ORG,Tsar,My grandmother escaped from the Tsar with nothing but the clothes on her back.
1,1,2,2,PERSON,Fiona,Princess Fiona
1,1,1,4,DATE,This 9 month old,This 9 month old baby girl I saw today at work who was chewing on her mom’s purse strap
1,1,9,9,DATE,today,This 9 month old baby girl I saw today at work who was chewing on her mom’s purse strap
1,1,1,2,PERSON,Emily Pross,"Emily Pross won NCDH open class against men, then went on to have a perfect World Cup race season."
1,1,4,4,ORG,NCDH,"Emily Pross won NCDH open class against men, then went on to have a perfect World Cup race season."
1,1,17,18,EVENT,World Cup,"Emily Pross won NCDH open class against men, then went on to have a perfect World Cup race season."
1,1,3,4,PERSON,Maria Callas,Happy birthday Maria Callas!
1,2,1,1,PERSON,Rihanna,"Pretty much every woman of colour who fight to make their voices heard everyday. Rihanna, Beyonce, Ava Duvernay, Serena Williams are some of the ""baddest""! The women of the #metoo movement. Women living on minimal salary, single moms..."
1,2,3,3,GPE,Beyonce,"Pretty much every woman of colour who fight to make their voices heard everyday. Rihanna, Beyonce, Ava Duvernay, Serena Williams are some of the ""baddest""! The women of the #metoo movement. Women living on minimal salary, single moms..."
1,2,5,6,PERSON,Ava Duvernay,"Pretty much every woman of colour who fight to make their voices heard everyday. Rihanna, Beyonce, Ava Duvernay, Serena Williams are some of the ""baddest""! The women of the #metoo movement. Women living on minimal salary, single moms..."
